ID;Name;Test value bioregion 1;Test value bioregion 2;Test value bioregion 3;Test value bioregion 4;Test value bioregion 5;Test value bioregion 6;Test value bioregion 7;Test value bioregion 8;Species group
81086;Alchemilla fulgens Buser, 1901;-0,273121656116846;-0,28489192193234;-0,565027386749384;-0,80565938028241;-0,224854738133065;-0,256364273911378;-0,462609842069786;3,25476511210246;a
81088;Alchemilla glabra Neygenf., 1821;-3,92003321953293;-4,08896831481418;-8,10966862714061;-11,5633874634395;-2,88692069066615;0,915766982706991;3,86375765210369;30,1883907672372;s
81091;Alchemilla glaucescens Wallr., 1840;-3,91050700078669;-4,07903156060014;-8,08996101932833;-11,1717302479288;-3,21942990581908;-2,74928162049857;7,69593625982833;28,2775519392249;s
81104;Alchemilla incisa Buser, 1892;-1,79097846964177;-1,86816126414156;-3,7051323531561;-5,28306185772915;-1,4744711222056;-1,68109296600118;-1,65415874380399;19,6987331911756;l
81130;Alchemilla monticola Opiz, 1838;-1,83215576761376;-1,91111311104383;-3,79031893776206;-5,40452742306547;-1,50837143858534;0,246647470413299;1,84076294246574;14,3331927223894;k
81137;Alchemilla pallens Buser, 1892;-1,770030632413;-1,84631067311455;-3,66179598102177;-3,61486725983349;-1,45722525264879;-1,66143038355525;3,51521882033073;11,1114038631615;k
81140;Alchemilla pentaphyllea L., 1753;-2,47322178570396;-2,57980607584152;-5,11654060061099;-7,29555597861034;-2,03614625392993;-2,32147723592648;-3,85615265075462;29,0762729438523;l
81159;Alchemilla saxatilis Buser, 1891;-3,66431153522753;-3,21721445760784;-7,58063787552412;-9,83909732224744;0,988402284339671;9,66978767797702;0,0858574454760638;20,6302046569451;l
81171;Alchemilla subsericea Reut., 1854;-1,63872993670107;-1,70935153159404;-3,3901643204963;-4,83395628169446;-1,34912842879839;-1,53818564346827;-0,765619288625496;17,1326644698049;k
81178;Alchemilla tenuis Buser, 1894;-0,273121656116846;-0,28489192193234;-0,565027386749384;-0,80565938028241;-0,224854738133065;-0,256364273911378;-0,462609842069786;3,25476511210246;a
81179;Alchemilla transiens (Buser) Buser, 1898;-2,33355245278966;-2,43411764800062;-4,82759610859371;-6,88355676258311;-1,9211597247613;2,44127579963189;3,45806661245723;15,1897374960962;k
81195;Alchemilla xanthochlora Rothm., 1937;-4,21351569256862;-4,39509850963411;-8,71681797279761;-11,9229896127434;-3,1522444271091;-1,67488194910906;10,0616843758785;26,9163462956061;s
81197;Aldrovanda vesiculosa L., 1753;4,0265882670006;-0,753753175964199;2,71492036427361;-2,13157436165367;-0,594909718214641;-0,67827611381115;-1,22395059616752;-0,897238275894911;a
81263;Alisma lanceolatum With., 1796;3,98707415510678;8,39432272887597;6,11068257418945;-0,633013088385122;-2,87013475420747;-4,01073303921687;-5,7241036158676;-5,6543302445014;b
81272;Alisma plantago-aquatica L., 1753;5,30287519107686;5,94697491046647;3,04708847238426;0,236490410126771;-3,36749413597714;-4,22543895780288;-2,03667010426766;-5,716763896706;b
81286;Alkanna lutea Moris, 1845;0,708318648194161;6,36876091146136;0,370834661801063;-2,27874884449697;-0,635985240463262;-0,725107666146803;-1,30845822548473;-0,959188063628145;c
81287;Alkanna matthioli Tausch, 1824;5,58021042490733;-0,504172931889949;4,39412639991565;0,525213488322723;-1,90795572138978;-2,17532299844041;-3,9253746764542;-2,87756419088444;b
81295;Alliaria petiolata (M.Bieb.) Cavara & Grande, 1913;-6,83386549250237;2,56701892311752;-1,8892978534317;8,54368213271936;-1,31911445088673;-5,24041293722765;6,51590401157763;-8,28144795386152;f
81297;Allium acutiflorum Loisel., 1809;-1,86258960557815;23,4980447582577;-3,56576040161071;-2,69478603927065;-1,93427359525632;-2,20532887103488;-3,97952033321952;-2,91725660647329;d
81316;Allium angulosum L., 1753;1,26239124850878;-0,637037703681275;1,22713665420425;-1,80150914102182;-0,502790479528447;-0,573247943468217;1,66232427566307;-0,758304746377862;a
81341;Allium chamaemoly L., 1753;4,48123608675501;17,9667135594102;3,21039666981001;-7,10163045687793;-2,50387639558151;-2,85475173637313;-5,15140518514116;-3,77632718283308;d
81347;Allium coloratum Spreng., 1825;-1,79097846964177;2,46429202208533;-3,7051323531561;7,0209412014362;-1,4744711222056;-1,68109296600118;-0,734574172933536;-2,22378604188017;e
81350;Allium commutatum Guss., 1855;1,97290231594992;8,61525626215065;-1,69508216024815;-2,41697814084723;-0,674564214399194;-0,769092821734134;-1,38782952620936;-1,01737257633698;c
81376;Allium flavum L., 1753;-2,86480130603326;-3,35882622330183;-2,88265688764668;9,48639037718377;-2,6509982654207;-3,02249021344933;3,49660114771242;-3,6933855467221;f
81417;Allium lineare L., 1753;-1,28105412019953;-1,33626156047783;-2,65021335954116;-3,77887745432619;-1,0546622074103;-1,20245503060962;-2,16983249389355;15,2662015763289;k
81421;Allium longispathum D.Delaroche, 1811;0,433312953046627;3,91745460283833;-0,891441680670771;3,78829628770939;-0,879635592503031;-2,26414796185506;-2,0373298235356;-2,9950637687227;c
81423;Allium lusitanicum Lam., 1783;-3,58195693928353;-1,26063493615348;-7,19794483897413;-1,23889558996199;5,24551674231165;-0,344783525233259;8,87617807642557;1,03305772450361;i
81433;Allium moly L., 1753;-0,98475413556893;-1,02719243249254;0,279649562734944;3,59180869186878;0,544121395127995;-0,924334534784568;-1,66796350611691;-1,2227296634113;e
81439;Allium moschatum L., 1753;-3,13865780236944;-2,04159473480356;4,77370097878631;12,2926510358011;-3,4761698936261;-3,96329549544414;-6,37166261997107;-5,24273278210186;f
81443;Allium narcissiflorum Vill., 1779;-2,51805725081872;-2,62657373977882;-5,20929511172397;-7,14551336877218;-2,07305825465074;-2,36356182058756;6,85393857258722;16,364030737099;q
81445;Allium neapolitanum Cirillo, 1788;1,35731798958428;18,3797025170617;3,52627704265367;-4,52201221056979;-2,51790350510561;-3,30302261507939;-5,96031087718184;-4,09036966451646;d
81449;Allium nigrum L., 1762;1,79321865493241;4,55887100000081;3,03122696095456;-0,588024361300204;-1,54152641990392;-1,75754491381901;-3,17149329197653;-2,32491832776217;a
81457;Allium oleraceum L., 1753;-4,76871309332171;-1,09890136844189;-9,74693003733229;2,44878078397633;-3,5816413133535;-5,04950458696863;13,5775301888219;4,84155999147;o
81459;Allium oporinanthum Brullo, Pavone & Salmeri, 1977;-3,54550566796399;-2,56664447272108;-3,79496525491952;15,1131685053752;-3,16398662223089;-3,60736509182885;-0,724181594836973;-4,51649377427603;f
81463;Allium pallens L., 1762;1,3032086544714;1,58808539960384;0,0681310550421164;4,40306236398851;-1,85419967148645;-2,11403395994278;-2,71788942107425;-2,3606666342082;e
